  Nz=Nparall      Px    
 -2.9558E+01  1.3902E-05
 -2.9546E+01  1.1832E-05
 -2.9534E+01  9.9635E-06
 -2.9522E+01  8.6625E-06
 -2.9510E+01  8.4575E-06
 -2.9498E+01  9.7549E-06
 -2.9486E+01  1.2514E-05
 -2.9474E+01  1.6092E-05
 -2.9462E+01  1.9413E-05
 -2.9450E+01  2.1497E-05
 -2.9439E+01  2.2150E-05
 -2.9427E+01  2.2526E-05
 -2.9415E+01  2.5214E-05
 -2.9403E+01  3.3683E-05
 -2.9391E+01  5.1152E-05
 -2.9379E+01  7.9264E-05
 -2.9367E+01  1.1704E-04
 -2.9355E+01  1.6056E-04
 -2.9343E+01  2.0366E-04
 -2.9331E+01  2.3930E-04
 -2.9319E+01  2.6146E-04
 -2.9308E+01  2.6657E-04
 -2.9296E+01  2.5435E-04
 -2.9284E+01  2.2764E-04
 -2.9272E+01  1.9139E-04
 -2.9260E+01  1.5149E-04
 -2.9248E+01  1.1371E-04
 -2.9236E+01  8.3293E-05
 -2.9224E+01  6.5100E-05
 -2.9212E+01  6.3902E-05
 -2.9200E+01  8.4346E-05
 -2.9188E+01  1.3016E-04
 -2.9177E+01  2.0263E-04
 -2.9165E+01  2.9880E-04
 -2.9153E+01  4.1029E-04
 -2.9141E+01  5.2336E-04
 -2.9129E+01  6.2094E-04
 -2.9117E+01  6.8605E-04
 -2.9105E+01  7.0605E-04
 -2.9093E+01  6.7610E-04
 -2.9081E+01  6.0083E-04
 -2.9069E+01  4.9345E-04
 -2.9058E+01  3.7251E-04
 -2.9046E+01  2.5737E-04
 -2.9034E+01  1.6374E-04
 -2.9022E+01  1.0066E-04
 -2.9010E+01  6.9698E-05
 -2.8998E+01  6.6317E-05
 -2.8986E+01  8.2641E-05
 -2.8974E+01  1.1042E-04
 -2.8962E+01  1.4310E-04
 -2.8950E+01  1.7649E-04
 -2.8938E+01  2.0806E-04
 -2.8927E+01  2.3558E-04
 -2.8915E+01  2.5611E-04
 -2.8903E+01  2.6588E-04
 -2.8891E+01  2.6126E-04
 -2.8879E+01  2.4043E-04
 -2.8867E+01  2.0473E-04
 -2.8855E+01  1.5913E-04
 -2.8843E+01  1.1125E-04
 -2.8831E+01  6.9331E-05
 -2.8819E+01  3.9690E-05
 -2.8807E+01  2.4878E-05
 -2.8796E+01  2.3084E-05
 -2.8784E+01  2.9136E-05
 -2.8772E+01  3.6627E-05
 -2.8760E+01  4.0330E-05
 -2.8748E+01  3.7923E-05
 -2.8736E+01  3.0406E-05
 -2.8724E+01  2.1147E-05
 -2.8712E+01  1.4067E-05
 -2.8700E+01  1.1798E-05
 -2.8688E+01  1.4605E-05
 -2.8676E+01  2.0472E-05
 -2.8665E+01  2.6237E-05
 -2.8653E+01  2.9176E-05
 -2.8641E+01  2.8298E-05
 -2.8629E+01  2.4752E-05
 -2.8617E+01  2.1186E-05
 -2.8605E+01  2.0398E-05
 -2.8593E+01  2.3912E-05
 -2.8581E+01  3.1158E-05
 -2.8569E+01  3.9631E-05
 -2.8557E+01  4.5956E-05
 -2.8545E+01  4.7371E-05
 -2.8534E+01  4.2967E-05
 -2.8522E+01  3.4131E-05
 -2.8510E+01  2.3998E-05
 -2.8498E+01  1.6155E-05
 -2.8486E+01  1.3161E-05
 -2.8474E+01  1.5535E-05
 -2.8462E+01  2.1614E-05
 -2.8450E+01  2.8351E-05
 -2.8438E+01  3.2664E-05
 -2.8426E+01  3.2746E-05
 -2.8414E+01  2.8780E-05
 -2.8403E+01  2.2776E-05
 -2.8391E+01  1.7634E-05
 -2.8379E+01  1.5886E-05
 -2.8367E+01  1.8643E-05
 -2.8355E+01  2.5214E-05
 -2.8343E+01  3.3503E-05
 -2.8331E+01  4.0969E-05
 -2.8319E+01  4.5704E-05
 -2.8307E+01  4.7144E-05
 -2.8295E+01  4.6108E-05
 -2.8283E+01  4.4208E-05
 -2.8272E+01  4.2932E-05
 -2.8260E+01  4.2839E-05
 -2.8248E+01  4.3281E-05
 -2.8236E+01  4.2757E-05
 -2.8224E+01  3.9751E-05
 -2.8212E+01  3.3664E-05
 -2.8200E+01  2.5406E-05
 -2.8188E+01  1.7338E-05
 -2.8176E+01  1.2563E-05
 -2.8164E+01  1.3821E-05
 -2.8152E+01  2.2416E-05
 -2.8141E+01  3.7622E-05
 -2.8129E+01  5.6787E-05
 -2.8117E+01  7.6101E-05
 -2.8105E+01  9.1723E-05
 -2.8093E+01  1.0085E-04
 -2.8081E+01  1.0234E-04
 -2.8069E+01  9.6789E-05
 -2.8057E+01  8.6026E-05
 -2.8045E+01  7.2379E-05
 -2.8033E+01  5.7981E-05
